ID_A;DV_A;MACROZONA;TAMANO;TRAMO;FE;P200;P201;P202;P203;P230;P231;P232;P233;P234;P235;P236;P237;P238;P239;P240;P241;P242;P243;P244;P245;P228;P229;P3000;P3002;P3004;P3006;P3330;P3336;P3338;P3331;P3337;P3339;P3231;P3232;P3233;P3234;P3235;P3237;P3238;P3240;P3248;P3250;P3265;P3241;P3242;P3243;P3244;P3046;P3047;P3048;P3049;P3050;P3051;P3253;P3254;P3255;P3256;P3257;P3266;P3267;P3268;P3271;P4000;P4002;P4003;P3055;P4118;P3344;P3269;P3270;P3057;P4119;P3345;P4139;P3084;P3085;P4140;P3086;P3087;P4141;P3088;P3089;P4142;P3090;P3091;P4143;P3294;P3295;P4144;P3092;P3093;P4122;P4145;P4120;P4121;P3342;P3343;P3102;P3104;P3106;P3108;P3110;P3112;P3114;P3116;P3132;P3118;P3120;P3122;P3124;P3126;P3128;P3130;P3134;P3103;P3105;P3107;P3109;P3111;P3113;P3115;P3117;P3133;P3119;P3121;P3123;P3125;P3127;P3129;P3131;P3135;P3146;P3147;P3148;P4005;P4006;P4004;P4124;P4127;P4125;P4146;P3136;P4147;P3139;P4148;P3142;P4149;P3145;P4150;P3281;P4151;P3154;P4152;P3157;P4153;P3332;P4154;P3333;P4155;P3334;P4156;P3335;P3162;P3164;P3166;P3168;P3170;P3172;P3174;P3176;P3178;P3180;P3182;P3184;P3186;P3188;P3190;P3192;P3282;P3283;P3284;P3320;P3321;P3323;P3324;P3326;P3327;P3329;P4008;P4010;P4011;P4012;P4013;P4014;P4015;P4016;P4017;P4018;P4019;P4020;P4021;P4022;P4023;P4024;P4025;P4026;P4027;P4028;P4029;P4030;P4031;P4032;P4033;P4034;P4035;P4036;P4037;P4038;P4180;P4181;P4182;P4183;P4184;P4185;P4186;P4187;P4188;P4189;P4190;P4039;P4040;P4041;P4042;P4043;P4044;P4046;P4045;P4047;P3196;P3197;P3285;P3198;P3199;P3200;P3286;P3201;P3202;P3287;P3288;P3289;P3290;P3291;P3293;P3296;P3297;P3298;P4157;P4059;P4163;P4169;P4158;P4062;P4164;P4170;P4159;P4065;P4165;P4171;P4160;P4068;P4166;P4172;P4161;P4071;P4167;P4173;P4162;P4074;P4168;P4174;P4113;P4175;P4176;P4177;P4178;P4179;P3220;P3222;P4116;P3230;P024;P041;P026;P027;P040;P028;P0281;P021
20688;7;1;1;1;1;248141;222989;0;0;0;1;1;3;0;0;0;5;0;4;3;0;0;0;0;7;0;0;0;0;;;;;;;;;;;;;1;0;1;0;0;0;0;1;0;0;0;4;4;4;2;3;2;3;4;4;4;2;4;4;4;0;0;;;0;;;;;0;;;1;0;1000;0;;;0;;;0;;;0;;;0;;;;0;;;0;1000;;;;;;;;;;;;;;;;;;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;1;0;0;;;;1;1;0;;0;;;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;;;;;;;;3;1;0;0;2;0;5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;1;2;1;2;2;1;2;1;3;4;4;1;2;2;3;1;1;1;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;1;0;2;1998;1;100;0;0;6;;0
20634;7;1;3;2;6,175653329;103216;107970;0;0;0;0;53;22;0;0;0;75;0;0;14;24;0;1;0;39;0;0;0;0;;;;;;;;;;;;;0;0;1;1;0;1;0;1;0;0;0;2;2;1;2;1;2;2;2;1;1;1;1;1;1;1;1;5;15;1;1000;1000;0;1;0;;;1;3000;3000;0;;;1;2000;5000;0;;;0;;;0;;;;0;;;6000;9000;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;50;0;1;0;0;2018;2018;5000;1;1;0;;0;;;;1;2;1;1;0;;1;2;1;1;0;;1;1;0;;;;;;;;;;;;;;;;;;;0;0;1;0;0;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;1;1;3;3;2;2;2;1;1;2;2;2;2;1;2;3;2;1;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;1;0;0;1;2002;1;100;0;0;10;CORPORACION DE DERECHO PRIVADO SIN FINES DE LUCRO;0
25650;7;1;1;2;1,5;13814941;13649986;564789;1209843;0;32;4;4;0;0;0;40;0;0;6;2;0;0;0;8;10;10;0;0;;;;;;;;;;;;;1;0;0;0;0;0;0;0;1;0;0;4;4;4;4;4;1;4;4;4;4;4;4;4;4;0;0;;;0;;;;;0;;;1;0;30000;0;;;0;;;1;0;10000;0;;;0;;;;0;;;0;40000;;;;;;;;;;;;;;;;;;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;1;0;0;;;;1;1;1;1;0;;;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;;;;;;;;2;1;0;0;0;0;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;0;0;1;;;;;;;0;0;1;0;0;0;0;;3;2;2;2;2;3;2;1;3;3;4;4;4;2;1;3;2;4;2;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;1;0;2;2002;0;100;0;0;4;;0
22417;2;1;1;2;1,333333333;5871857;4230796;0;0;35;99;22;11;0;0;0;167;4;37;4;2;0;0;0;47;0;0;1;0;1;0;10;0;90;;;;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;1;1;2;4;4;4;3;1;4;4;1;1;1;0;0;;;1;10000;10000;0;1;1;5000;5000;0;;;1;1000;1000;1;2000;2000;0;;;1;2000;2000;0;;;;0;;;20000;20000;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;50;0;1;0;0;2014;2018;50000;1;1;1;2;1;3;;;1;1;1;2;1;2;1;1;1;2;1;3;1;1;0;;;;;;;;;;;;;;;;;;;2;1;3;0;2;0;7;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;3;2;1;3;3;3;3;3;4;2;4;4;2;2;4;4;3;4;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;1;1;1;2;2015;1;100;0;0;4;;0
20043;2;1;3;2;19,16225962;359702;494081;0;0;8;0;0;0;0;0;0;8;12;0;1;2;0;0;0;15;0;0;0;0;;;;;;;;;;;;;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;0;;;1;0;10000;0;1;0;;;0;;;0;;;0;;;0;;;0;;;0;;;;0;;;0;10000;;;;;;;;;;;;;;;;;;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;1;;;;0;;0;;0;;;;1;1;0;;0;;0;;0;;0;;1;3;0;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;2;1;1;2;2;1;1;3;2;4;4;4;3;1;2;3;3;3;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;1;0;2;1971;1;100;0;0;1;;0
20985;9;1;3;2;2,979166667;648134;610992;0;0;0;2;0;4;2;0;0;8;0;1;0;4;0;0;0;5;0;0;0;0;;;;;;;;;;;;;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;0;;;1;52400;60000;1;0;0;;;0;;;0;;;0;;;0;;;0;;;0;;;ESTUDIOS DE TERCEROS;1;0;50000;52400;110000;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70;80;0;0;1;0;2015;2018;60000;1;1;1;3;1;1;1;2;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;6;;;;2;1;5;1;1;0;8;1;0;0;1;50000;1;0;0;;1;0;0;;1;0;0;;1;0;0;;1;0;0;;;1;0;0;;1;0;0;0;1;;;;;;;;;;;;;;;;1;2;1;3;3;2;2;3;3;3;3;3;3;3;3;3;3;3;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;1;0;0;1;2009;1;100;0;0;4;;0
24389;5;1;1;1;1;34413982;52439479;34050710;48858679;11;348;118;70;0;0;27;574;0;6;7;24;0;0;2;39;265;275;0;0;;;;;;;;;;;;;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;0;;;1;210070;236062;1;0;0;;;0;;;0;;;0;;;0;;;0;;;0;;;;0;;;210070;236062;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;85;85;0;0;1;0;;;;1;1;1;2;1;3;;;0;;0;;0;;1;3;1;3;1;3;1;1;0;;;;;;;;;;;;;;;;;;;3;1;12;1;0;0;15;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;2;3;2;2;2;2;2;3;2;2;2;3;2;2;2;1;1;2;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;1;0;2;1986;1;100;0;0;4;;0
20906;6;13;1;2;8,681221543;6168631;6217034;0;0;0;0;2;36;5;0;0;43;0;0;4;25;3;0;0;32;1;3;0;1;0;1;0;50;50;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;4;4;4;1;2;3;2;3;1;2;1;4;4;4;1;0;;;0;;;;;0;;;1;0;100000;0;;;0;;;0;;;0;;;0;;;;0;;;0;100000;;;;;;;;;;;;;;;;;;10;20;0;20;0;0;0;0;0;0;30;0;0;0;10;10;0;0;80;0;1;1;0;;;0;1;2;1;1;0;;;;1;2;1;3;0;;0;;1;3;1;3;1;3;0;;;;;;;;;;;;;;;;;;;5;0;0;0;5;1;10;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;2;4;2;2;4;4;2;4;1;2;2;1;1;2;3;2;2;3;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;1;1;0;2;2008;1;100;0;0;4;;1
22840;2;13;2;2;37,98979588;947202;1775425;0;0;0;0;1;0;1;0;0;2;0;0;0;1;0;0;0;1;1;1;1;1;1;0;100;0;0;;;;1;0;0;0;1;1;1;1;1;0;1;1;0;0;0;1;1;1;1;2;2;1;1;1;2;1;1;1;1;0;0;;;0;;;;;0;;;1;80000;120000;0;;;0;;;0;;;0;;;0;;;;0;;;80000;120000;10;0;0;0;0;0;0;0;0;10;0;0;0;0;0;80;0;10;0;0;0;0;0;0;0;0;10;0;0;0;0;0;80;0;0;100;0;1;1;0;;;;1;1;0;;1;2;;;0;;0;;0;;1;1;0;;0;;1;1;0;;;;;;;;;;;;;;;;;;;2;1;0;0;0;0;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;1;1;3;1;3;3;1;1;2;3;3;2;1;1;1;2;2;2;1;1;0;1;0;;;;0;;;;0;;;;0;;;;0;;;;1;0;0;;;;1;1;1;3;2016;1;100;0;0;8;;0
20034;3;13;2;2;2,411605135;1774473;2053148;0;0;0;19;3;3;0;0;0;25;0;0;0;1;0;0;0;1;1;1;0;0;;;;;;;;;;;;;0;1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;10;20;1;40000;55000;0;1;0;;;0;;;0;;;0;;;0;;;0;;;0;;;;0;;;40000;55000;10;0;0;0;5;15;0;0;0;10;0;0;0;0;0;60;0;10;0;0;0;5;15;0;0;0;10;0;0;0;0;0;60;0;5;5;0;0;1;0;;;0;1;1;1;1;1;1;;;1;2;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;;;;;;;;2;1;1;1;1;1;4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;3;3;1;2;2;2;1;1;1;1;1;1;1;1;1;2;1;1;1;1;0;1;1;1;0;1;1;1;0;1;1;1;0;1;1;1;0;1;1;1;0;3;1;0;1;0;0;1;1;1;1;1;1993;0;100;0;0;1;;0
